,RMSE,MAE,R2
Linear Regression,3944.0735968680874,3010.105616110341,0.8760099401163015
Random Forest,4263.914040032676,3282.365992741937,0.8550848700324716
Gradient Boosting,4166.084698091148,3262.891105974351,0.8616583219553056
